,Release Date,PS3 and Xb360,PS4 and XbOne,PC,PS5 and XbSeriesX|S
227,10 Feb 22,,Valentine's Day 2022,Valentine's Day 2022,
228,15 Mar 2022,,,,Release 1.58
229,26 April 2022,,Title Update (Online 1.59) Notes,Title Update (Online 1.59) Notes,Title Update (Online 1.59) Notes
230,17 May 2022,,Title Update (Online 1.60) Notes,Title Update (Online 1.60) Notes,
231,26 July 2022,,GTA Online: The Criminal Enterprises[] Title Update (Online 1.61) Notes Official,GTA Online: The Criminal Enterprises Title Update (Online 1.61) Notes,GTA Online: The Criminal Enterprises Title Update (Online 1.61) Notes
232,4 Aug 22,,SM722 Week,SM722 Week,SM722 Week
233,11 Aug 22,,Cayo Perico Series Week,Cayo Perico Series Week,Cayo Perico Series Week
234,18 Aug 22,,Ruiner ZZ-8 Week,Ruiner ZZ-8 Week,Ruiner ZZ-8 Week
235,25 Aug 22,,Brioso 300 Widebody Week,Brioso 300 Widebody Week,Brioso 300 Widebody Week
236,01 Sep 22,,Vigero ZX Week,Vigero ZX Week,Vigero ZX Week
237,02 Sep 22,,"Title Update (Online 1.62, PS4 Only) Notes Official",,
238,15 Sep 22,,Community Series Week,Community Series Week,Community Series Week
239,22 Sep 22,,Kanjo SJ and Postlude Week,Kanjo SJ and Postlude Week,Kanjo SJ and Postlude Week
240,29 Sep 22,,Junk Energy Skydives Week,Junk Energy Skydives Week,Junk Energy Skydives Week
241,06 Oct 22,,Halloween 2022 (Week 1),Halloween 2022 (Week 1),Halloween 2022 (Week 1)
242,13 Oct 22,,Halloween 2022 (Week 2),Halloween 2022 (Week 2),Halloween 2022 (Week 2)
243,20 Oct 22,,Halloween 2022 (Week 3),Halloween 2022 (Week 3),Halloween 2022 (Week 3)
244,25 Oct 22,,,"Title Update (Online 1.63, PC Only) Notes Official",
245,27 Oct 22,,Halloween 2022 (Week 4),Halloween 2022 (Week 4),Halloween 2022 (Week 4)
246,10 Nov 22,,The Heists Event (Week 2),The Heists Event (Week 2),The Heists Event (Week 2)
247,22 Nov 22,,The Heist Challenge 2022,The Heist Challenge 2022,The Heist Challenge 2022
248,13 Dec 2022,,GTA Online: Los Santos Drug Wars[] Title Update (Online 1.64) Notes Official,GTA Online: Los Santos Drug Wars Title Update (Online 1.64) Notes,GTA Online: Los Santos Drug Wars Title Update (Online 1.64) Notes
249,16 Dec 2022,,,,Title Update (Online 1.65) Notes Official
250,29 Dec 22,,Powersurge Week,Powersurge Week,Powersurge Week
251,12 Jan 23,,Gun Van Week,Gun Van Week,Gun Van Week
252,19 Jan 23,,Taxi Work Week,Taxi Work Week,Taxi Work Week
253,26 Jan 23,,Issi Rally Week,Issi Rally Week,Issi Rally Week
254,01 Feb 2023,,,Title Update (Online 1.66) Notes Official,
255,09 Feb 23,,Broadway Week,Broadway Week,Broadway Week
256,16 Feb 23,,Eclipse Blvd Garage Week,Eclipse Blvd Garage Week,Eclipse Blvd Garage Week
257,28 Feb 2023,,Title Update (Online 1.66) Notes Official,Title Update (Online 1.66) Notes,Title Update (Online 1.66) Notes
258,13 Jun 2023,,GTA Online: San Andreas Mercenaries[] Title Update (Online 1.67) Notes Official,GTA Online: San Andreas Mercenaries Title Update (Online 1.67) Notes,GTA Online: San Andreas Mercenaries Title Update (Online 1.67) Notes
259,22 Jun 23,,Buffalo EVX Week,Buffalo EVX Week,Buffalo EVX Week
260,20 Jul 23,,La Coureuse Week,La Coureuse Week,La Coureuse Week
261,10 Aug 23,,Assault on Cayo Perico Week,Assault on Cayo Perico Week,Assault on Cayo Perico Week
262,17 Aug 23,,Executive Bonuses Week,Executive Bonuses Week,Executive Bonuses Week
263,14 Sep 23,,GTA V 10th Anniversary Week,GTA V 10th Anniversary Week,GTA V 10th Anniversary Week
264,28 Sep 23,,Business Production Boosts Week,Business Production Boosts Week,Business Production Boosts Week
265,03 Oct 2023,,,"Title Update (Online 1.67, PC Only) Notes Official",
266,12 Oct 23,,Halloween 2023 (Week 2),Halloween 2023 (Week 2),Halloween 2023 (Week 2)
267,12 Dec 2023,,GTA Online: The Chop Shop[] Title Update (Online 1.68) Notes Official,GTA Online: The Chop Shop Title Update (Online 1.68) Notes,GTA Online: The Chop Shop Title Update (Online 1.68) Notes
268,21 Dec 23,,Festive Surprise 2023,Festive Surprise 2023,Festive Surprise 2023
269,04 Jan 24,,Park Ranger Week,Park Ranger Week,Park Ranger Week
270,11 Jan 24,,Cavalcade XL Week,Cavalcade XL Week,Cavalcade XL Week
271,16 Jan 24,,,,"Title Update (Online 1.68, PS5 Only) Notes Official"
272,23 Jan 24,,Title Update (Online 1.68) Notes Official,Title Update (Online 1.68) Notes,Title Update (Online 1.68) Notes
273,25 Jan 24,,Drag Races Week,Drag Races Week,Drag Races Week
274,15 Feb 24,,Baller ST-D Week,Baller ST-D Week,Baller ST-D Week
275,20 Feb 24,,Title Update (Online 1.68) Notes Official,,Title Update (Online 1.68) Notes Official
276,22 Feb 24,,Impaler SZ Week,Impaler SZ Week,Impaler SZ Week
